date,fund,company,ticker,shares,value,stockPrice,weight,deltaShares,flowValue,deltaValue,deltaPrice,deltaPricePercent,deltaWeight,action
2021-10-01,ARKG,10X GENOMICS INC-CLASS A,TXG,627154.0,91.3,145.58,0.0128,-987.0,-0.14,-0.37,-0.36,-0.0025,-0.0154,Sell
2021-10-01,ARKG,1LIFE HEALTHCARE INC,ONEM,3568997.0,72.27,20.25,0.0101,-5610.0,-0.11,0.74,0.24,0.012,0.0,Sell
2021-10-01,ARKG,908 DEVICES INC,MASS,2735391.0,88.95,32.52,0.0125,12286.0,0.4,1.52,0.41,0.0128,0.0081,Buy
2021-10-01,ARKG,ACCOLADE INC,ACCD,5202839.0,219.4,42.17,0.0308,-8178.0,-0.34,3.88,0.81,0.0196,0.0098,Sell
2021-10-01,ARKG,ADAPTIVE BIOTECHNOLOGIES,ADPT,4827695.0,164.09,33.99,0.023,-7587.0,-0.26,7.14,1.53,0.0471,0.036,Sell
2021-10-01,ARKG,AQUABOUNTY TECHNOLOGIES,AQB,6196878.0,25.22,4.07,0.0035,-9738.0,-0.04,1.02,0.17,0.0436,0.0294,Sell
2021-10-01,ARKG,ARCTURUS THERAPEUTICS HOLDIN,ARCT UQ,2512976.0,120.07,47.78,0.0168,-3951.0,-0.19,2.4,1.03,0.022,0.006,Sell
2021-10-01,ARKG,BEAM THERAPEUTICS INC,BEAM,2002321.0,174.22,87.01,0.0244,-3147.0,-0.27,-0.74,-0.23,-0.0026,-0.0161,Sell
2021-10-01,ARKG,BERKELEY LIGHTS INC,BLI,3856048.0,75.42,19.56,0.0106,-6060.0,-0.12,0.11,0.06,0.0031,-0.0093,Sell
2021-10-01,ARKG,BUTTERFLY NETWORK INC,BFLY,7151788.0,74.66,10.44,0.0105,-11241.0,-0.12,1.6,0.24,0.0235,0.0096,Sell
2021-10-01,ARKG,CAREDX INC,CDNA,3390851.0,214.88,63.37,0.0301,-5328.0,-0.34,9.31,2.84,0.0469,0.0344,Sell
2021-10-01,ARKG,CARIBOU BIOSCIENCES INC,CRBU,1455.0,0.03,23.87,0.0,-27962.0,-0.67,-0.67,0.07,0.0029,-1.0,Sell
2021-10-01,ARKG,CASTLE BIOSCIENCES INC,CSTL,2045398.0,136.02,66.5,0.0191,-50579.0,-3.36,0.14,1.67,0.0258,-0.0052,Sell
2021-10-01,ARKG,CELLECTIS - ADR,CLLS,3760279.0,47.42,12.61,0.0066,-57021.0,-0.72,-0.8,-0.02,-0.0016,-0.0294,Sell
2021-10-01,ARKG,CERUS CORP,CERS,5156244.0,31.4,6.09,0.0044,-8103.0,-0.05,-0.05,0.0,0.0,-0.0222,Sell
2021-10-01,ARKG,CODEXIS INC,CDXS,5799674.0,134.9,23.26,0.0189,-56579.0,-1.32,-0.38,0.16,0.0069,-0.0156,Sell
2021-10-01,ARKG,COMPUGEN LTD,CGEN,3617691.0,21.6,5.97,0.003,-5685.0,-0.03,0.15,0.05,0.0084,0.0,Sell
2021-10-01,ARKG,CRISPR THERAPEUTICS AG,CRSP,1814050.0,203.05,111.93,0.0285,-2850.0,-0.32,2.82,1.73,0.0157,0.0035,Sell
2021-10-01,ARKG,DREYFUS GOVT CASH MAN INS,,22075681.16,22.08,1.0,0.0031,18652546.45,18.65,18.65,0.0,0.0,5.2,Buy
2021-10-01,ARKG,DYNAMICS SPECIAL PURPOSE C-A,DYNS,2313442.0,23.0,9.94,0.0032,31821.0,0.32,0.45,0.06,0.0061,0.0,Buy
2021-10-01,ARKG,EDITAS MEDICINE INC,EDIT,1260174.0,51.77,41.08,0.0073,-1980.0,-0.08,-1.87,-1.42,-0.0334,-0.0395,Sell
2021-10-01,ARKG,EVOGENE LTD,EVGN,2926562.0,7.73,2.64,0.0011,-4599.0,-0.01,0.02,0.01,0.0038,0.0,Sell
2021-10-01,ARKG,EXACT SCIENCES CORP,EXAS,3921717.0,374.33,95.45,0.0525,-6162.0,-0.59,14.34,3.8,0.0415,0.0294,Sell
2021-10-01,ARKG,FATE THERAPEUTICS INC,FATE,4765491.0,282.45,59.27,0.0396,-7488.0,-0.44,-2.97,-0.53,-0.0089,-0.0198,Sell
2021-10-01,ARKG,GINKGO BIOWORKS HOLDINGS INC,DNA,9239602.0,107.09,11.59,0.015,-14520.0,-0.17,-5.81,-0.61,-0.05,-0.0625,Sell
2021-10-01,ARKG,INCYTE CORP,INCY,2857457.0,196.54,68.78,0.0276,-4491.0,-0.31,0.01,0.11,0.0016,-0.0072,Sell
2021-10-01,ARKG,INTELLIA THERAPEUTICS INC,NTLA,1489701.0,199.84,134.15,0.028,-2340.0,-0.31,-5.4,-3.41,-0.0248,-0.0378,Sell
2021-10-01,ARKG,INVITAE CORP,NVTA,6000907.0,170.61,28.43,0.0239,-9432.0,-0.27,-0.15,0.02,0.0007,-0.0124,Sell
2021-10-01,ARKG,IONIS PHARMACEUTICALS INC,IONS,8466525.0,283.97,33.54,0.0398,-13305.0,-0.45,-0.79,-0.04,-0.0012,-0.0124,Sell
2021-10-01,ARKG,IOVANCE BIOTHERAPEUTICS INC,IOVA,5867603.0,144.7,24.66,0.0203,-9222.0,-0.23,4.89,0.87,0.0366,0.0253,Sell
2021-10-01,ARKG,NANOSTRING TECHNOLOGIES INC,NSTG,861772.0,41.37,48.01,0.0058,-1356.0,-0.07,1.58,1.91,0.0414,0.0357,Sell
2021-10-01,ARKG,NOVARTIS AG-SPONSORED ADR,NVS,776.0,0.06,81.78,0.0,-15097.0,-1.23,-1.25,-1.11,-0.0134,-1.0,Sell
2021-10-01,ARKG,ORGANOVO HOLDINGS INC,ONVO ,243043.0,1.65,6.8,0.0002,-381.0,-0.0,0.02,0.09,0.0134,0.0,Sell
2021-10-01,ARKG,PACIFIC BIOSCIENCES OF CALIF,PACB,13792726.0,352.4,25.55,0.0494,-5107.0,-0.13,9.39,0.69,0.0278,0.0165,Sell
2021-10-01,ARKG,PALANTIR TECHNOLOGIES INC-A,PLTR,1620526.0,38.96,24.04,0.0055,-2547.0,-0.06,-0.84,-0.48,-0.0196,-0.0179,Sell
2021-10-01,ARKG,PERSONALIS INC,PSNL,5134626.0,98.79,19.24,0.0139,-8070.0,-0.16,4.58,0.92,0.0502,0.0451,Sell
2021-10-01,ARKG,PFIZER INC,PFE,2204936.0,94.83,43.01,0.0133,-3465.0,-0.15,-1.3,-0.52,-0.0119,-0.0221,Sell
2021-10-01,ARKG,QUANTUM-SI INC,QSI,10642233.0,88.76,8.34,0.0124,123664.0,1.03,0.3,-0.07,-0.0083,-0.008,Buy
2021-10-01,ARKG,RECURSION PHARMACEUTICALS-A,RXRX,2579819.0,59.36,23.01,0.0083,-4056.0,-0.09,2.18,0.88,0.0398,0.0247,Sell
2021-10-01,ARKG,REGENERON PHARMACEUTICALS,REGN,425390.0,257.44,605.18,0.0361,-669.0,-0.4,-1.05,-1.52,-0.0025,-0.0137,Sell
2021-10-01,ARKG,REPARE THERAPEUTICS INC,RPTX,2949628.0,77.4,26.24,0.0109,-4635.0,-0.12,1.44,0.53,0.0206,0.0093,Sell
2021-10-01,ARKG,SCHRODINGER INC,SDGR,2270080.0,124.13,54.68,0.0174,-124867.0,-6.83,-6.73,0.04,0.0007,-0.0595,Sell
2021-10-01,ARKG,SEMA4 HOLDINGS CORP,SMFR,9337243.0,70.87,7.59,0.0099,-233173.0,-1.77,-0.33,0.15,0.0202,-0.0198,Sell
2021-10-01,ARKG,SIGNIFY HEALTH INC -CLASS A,SGFY,8407464.0,150.24,17.87,0.0211,-13212.0,-0.24,-2.59,-0.28,-0.0154,-0.0276,Sell
2021-10-01,ARKG,SOMALOGIC INC,SLGC,4805639.0,59.54,12.39,0.0083,-7551.0,-0.09,2.94,0.63,0.0536,0.0375,Sell
2021-10-01,ARKG,SURFACE ONCOLOGY INC,SURF,4618354.0,34.96,7.57,0.0049,98914.0,0.75,1.07,0.07,0.0093,0.0208,Buy
2021-10-01,ARKG,TAKEDA PHARMACEUTIC-SP ADR,TAK UN,13423318.0,219.87,16.38,0.0308,-21096.0,-0.35,0.6,0.07,0.0043,-0.0096,Sell
2021-10-01,ARKG,TELADOC HEALTH INC,TDOC,3888909.0,493.15,126.81,0.0691,-6111.0,-0.77,2.69,0.89,0.0071,-0.0058,Sell
2021-10-01,ARKG,TWIST BIOSCIENCE CORP,TWST,2200322.0,235.37,106.97,0.033,-3459.0,-0.37,5.45,2.64,0.0253,0.0123,Sell
2021-10-01,ARKG,UIPATH INC - CLASS A,PATH,2918932.0,153.57,52.61,0.0215,-4587.0,-0.24,1.54,0.61,0.0117,0.0,Sell
2021-10-01,ARKG,VEEVA SYSTEMS INC-CLASS A,VEEV,732006.0,210.94,288.17,0.0296,-1149.0,-0.33,3.5,5.23,0.0185,0.0068,Sell
2021-10-01,ARKG,VERACYTE INC,VCYT,1981567.0,92.04,46.45,0.0129,-3114.0,-0.14,2.26,1.21,0.0267,0.0157,Sell
2021-10-01,ARKG,VERTEX PHARMACEUTICALS INC,VRTX,1700897.0,308.53,181.39,0.0433,-2673.0,-0.48,-1.9,-0.83,-0.0046,-0.0159,Sell
2021-10-01,ARKG,VERVE THERAPEUTICS INC,VERV,1260293.0,59.23,47.0,0.0083,-1980.0,-0.09,-1.17,-0.85,-0.0178,-0.0349,Sell
2021-10-01,ARKG,ZYMERGEN INC,ZY,3760230.0,49.52,13.17,0.0069,-5910.0,-0.08,1.5,0.42,0.0329,0.0147,Sell
2021-10-01,ARKG,BRISTOL-MYERS SQUIBB CO,BMY,0.0,0.0,,0.0,612.0,,-0.04,,,,Exit
