date,fund,company,ticker,shares,market value($),weight(%)
2021-09-27,ARKK,10X GENOMICS INC-CLASS A,TXG,2152607.0,331845895.12,1.57
2021-09-27,ARKK,2U INC,TWOU,4868504.0,171614766.0,0.81
2021-09-27,ARKK,BEAM THERAPEUTICS INC,BEAM,4831897.0,457435688.99,2.17
2021-09-27,ARKK,BERKELEY LIGHTS INC,BLI,4756745.0,101889477.9,0.48
2021-09-27,ARKK,CERUS CORP,CERS,10898496.0,71712103.68,0.34
2021-09-27,ARKK,COINBASE GLOBAL INC -CLASS A,COIN,4268477.0,989518338.14,4.68
2021-09-27,ARKK,COMPUGEN LTD,CGEN,5733750.0,35663925.0,0.17
2021-09-27,ARKK,CRISPR THERAPEUTICS AG,CRSP,4905568.0,571155282.24,2.7
2021-09-27,ARKK,DOCUSIGN INC,DOCU,1288932.0,351066408.84,1.66
2021-09-27,ARKK,DRAFTKINGS INC - CL A,DKNG,10516393.0,539806452.69,2.56
2021-09-27,ARKK,DREYFUS GOVT CASH MAN INS,,24720331.88,24720331.88,0.12
2021-09-27,ARKK,EDITAS MEDICINE INC,EDIT,4074353.0,239205264.63,1.13
2021-09-27,ARKK,EXACT SCIENCES CORP,EXAS,6460633.0,620349980.66,2.94
2021-09-27,ARKK,FATE THERAPEUTICS INC,FATE,6242039.0,404796229.15,1.92
2021-09-27,ARKK,GINKGO BIOWORKS HOLDINGS INC,DNA,10901039.0,137353091.4,0.65
2021-09-27,ARKK,INTELLIA THERAPEUTICS INC,NTLA,4115100.0,613726014.0,2.91
2021-09-27,ARKK,INVITAE CORP,NVTA,15854254.0,476578875.24,2.26
2021-09-27,ARKK,IOVANCE BIOTHERAPEUTICS INC,IOVA,5464095.0,136383811.2,0.65
2021-09-27,ARKK,IRIDIUM COMMUNICATIONS INC,IRDM,7493412.0,322816188.96,1.53
2021-09-27,ARKK,MATERIALISE NV-ADR,MTLS,3297409.0,71224034.4,0.34
2021-09-27,ARKK,NANOSTRING TECHNOLOGIES INC,NSTG,973018.0,48388185.14,0.23
2021-09-27,ARKK,NINTENDO CO LTD-UNSPONS ADR,NTDOY,681317.0,41396820.92,0.2
2021-09-27,ARKK,PACIFIC BIOSCIENCES OF CALIF,PACB,8289677.0,212049937.66,1.0
2021-09-27,ARKK,PAGERDUTY INC,PD,6599330.0,306340898.6,1.45
2021-09-27,ARKK,PALANTIR TECHNOLOGIES INC-A,PLTR,24295181.0,693870369.36,3.28
2021-09-27,ARKK,PROTO LABS INC,PRLB,1569237.0,112325984.46,0.53
2021-09-27,ARKK,ROBINHOOD MARKETS INC - A,HOOD,5209663.0,233965965.33,1.11
2021-09-27,ARKK,ROKU INC,ROKU,3467996.0,1116313232.44,5.28
2021-09-27,ARKK,SEA LTD-ADR,SE,660749.0,224925567.09,1.06
2021-09-27,ARKK,SHOPIFY INC - CLASS A,SHOP,555225.0,801744900.0,3.8
2021-09-27,ARKK,SIGNIFY HEALTH INC -CLASS A,SGFY,7754668.0,153930159.8,0.73
2021-09-27,ARKK,SKILLZ INC,SKLZ,13212988.0,150231673.56,0.71
2021-09-27,ARKK,SPOTIFY TECHNOLOGY SA,SPOT,3349957.0,771160101.4,3.65
2021-09-27,ARKK,SQUARE INC - A,SQ,3180987.0,835009087.5,3.95
2021-09-27,ARKK,STRATASYS LTD,SSYS,3701787.0,82549850.1,0.39
2021-09-27,ARKK,TELADOC HEALTH INC,TDOC,8862186.0,1195508891.4,5.66
2021-09-27,ARKK,TERADYNE INC,TER,84742.0,10112262.86,0.05
2021-09-27,ARKK,TESLA INC,TSLA,2894123.0,2241179909.97,10.61
2021-09-27,ARKK,TRIMBLE INC,TRMB,1385644.0,121520978.8,0.58
2021-09-27,ARKK,TUSIMPLE HOLDINGS INC - A,TSP,7214848.0,276617272.32,1.31
2021-09-27,ARKK,TWILIO INC - A,TWLO,2060547.0,707200335.87,3.35
2021-09-27,ARKK,TWIST BIOSCIENCE CORP,TWST,1644636.0,184380141.96,0.87
2021-09-27,ARKK,TWITTER INC,TWTR,8108981.0,545085702.82,2.58
2021-09-27,ARKK,UIPATH INC - CLASS A,PATH,11511231.0,606641873.7,2.87
2021-09-27,ARKK,UNITY SOFTWARE INC,U,7879745.0,1123021257.4,5.32
2021-09-27,ARKK,VERACYTE INC,VCYT,3725235.0,182089486.8,0.86
2021-09-27,ARKK,ZILLOW GROUP INC - C,Z,6481244.0,585969270.04,2.77
2021-09-27,ARKK,ZOOM VIDEO COMMUNICATIONS-A,ZM,3281270.0,893686697.2,4.23
